,id do pedido,Origem,Destino
779,193612,99040-000,84016-140
780,193646,02143-060,37800-000
781,193647,31030-035,37800-000
782,193663,02721-200,06402-070
783,193669,15086-010,11360-000
784,193675,14701-550,25946-244
785,193682,13800-700,12941-235
786,193685,79080-240,57035-551
787,193686,74430-120,69076-030
788,193691,06463-170,06764-040
789,193697,03622-010,07910-110
790,193699,02143-060,04111-000
791,193724,96170-000,82820-160
792,193727,18043-003,75780-000
793,193730,02552-000,14090-270
794,193734,03711-007,41640-410
795,193737,23073-200,80520-660
796,193741,50040-110,52191-211
797,193756,14701-550,78700-170
798,193782,74430-130,78285-000
799,193783,16204-061,78285-000
800,193784,89210-145,78285-000
801,193785,06075-180,78285-000
802,193788,92120-140,17830-000
803,193792,18043-003,14403-535
804,193793,06463-170,14403-535
805,193796,79170-000,06410-020
806,193799,06075-180,34400-000
807,193813,15130-025,38747-036
808,193825,79004-430,11075-003
809,193826,03622-010,22790-147
810,193829,29164-018,60040-080
811,193837,78085-000,79200-000
812,193838,06463-170,79200-000
813,193866,79004-430,83321-220
814,193905,74430-120,64002-150
815,193917,82820-090,64002-150
816,193931,15130-025,03089-010
817,193935,09351-090,06268-000
818,193940,04378-300,38405-326
819,193952,71200-035,07151-370
820,193967,03622-010,97050-420
821,193969,03412-030,25215-365
822,193973,74430-130,73010-516
823,193974,89210-145,28909-530
824,193980,02143-060,21645-190
825,193982,03622-010,25802-315
826,193986,99700-392,31035-572
827,193988,72252-098,64002-150
828,193989,06463-170,64002-150
829,193998,74430-120,37800-000
830,194007,72007-515,25946-244
831,194031,17360-000,02617-170
832,194035,03622-010,29101-280
833,194036,13070-752,15700-114
834,194040,71200-035,71720-565
835,194044,07180-270,37415-682
836,194046,81130-000,89225-190
837,194047,06463-170,64002-150
838,194056,74430-130,70763-060
839,194070,03622-010,01402-000
840,194075,12010-750,14010-080
841,194076,03345-000,14010-080
842,194084,74430-120,37720-000
843,194086,79170-000,37720-000
844,194094,02959-000,08343-440
845,194095,03622-010,08343-440
846,194100,04160-120,86062-020
847,194117,71200-035,13140-101
848,194125,23073-200,06028-000
849,194130,14021-000,16430-000
850,194132,03622-010,96030-002
851,194135,39480-000,70277-170
