,Unnamed: 0,id do pedido,Origem,Destino,Distancia
342,342,197768,74430-130,74920-650,15195.9
343,343,199988,65913-447,65040-840,628808.2
344,344,202586,79602-020,79630570,4695.2
345,345,198158,13360-000,13487-598,62252.8
346,346,200169,12010-150,05711-000,154435.1
347,347,193178,12010-150,13973-255,253222.6
348,348,194667,04344-010,07243-430,41277.5
349,349,195689,14701-550,17050-621,234418.7
350,350,196248,03711-007,37502-514,248653.8
351,351,197022,04715-002,13425-107,178525.6
352,352,197550,04715-002,17560-000,429382.9
353,353,198406,04715-002,11025-140,75858.4
354,354,198516,04715-002,12225-011,122124.8
355,355,199917,14405-268,09050-210,419809.1
356,356,199998,03622-010,12233-090,90827.6
357,357,200090,02552-000,11533-220,74629.4
358,358,203530,13403-000,03985-000,175533.7
359,359,200476,13405-230,02961-130,148998.9
360,360,192718,18043-003,07181-100,122343.9
361,361,200089,03221-000,11533-220,66801.9
362,362,195514,35900-700,37778-000,548494.6
363,363,197087,99040-000,92025-840,279741.0
364,364,198379,92120-140,98300-000,375948.0
365,365,198441,92120-140,90850-000,20906.3
366,366,195783,74430-130,75713-110,266588.7
367,367,200308,65913-447,65065-180,635688.6
368,368,198780,04344-010,03190-030,14210.7
369,369,200730,04133-200,13073-010,113541.6
370,370,201323,03047-000,13456-132,151914.9
371,371,192539,03711-007,90850-000,1158290.7
372,372,192766,06075-180,23080-000,417981.8
373,373,192843,04715-002,23035-290,420772.6
374,374,192954,04344-010,21862-160,419270.3
375,375,193131,92120-140,13140-299,1219545.5
376,376,193179,03989-010,23045-830,396720.8
377,377,193370,03622-010,25576-271,405151.3
378,378,193568,03622-010,82920-080,423989.7
379,379,193638,03989-010,88034-900,719243.1
380,380,193667,03622-010,24230-152,441360.1
381,381,193735,18043-003,29018-190,1077114.8
382,382,194068,04344-010,23092-080,411178.6
383,383,194092,29164-018,23050-435,695808.5
384,384,194141,04344-010,22451-040,457168.1
385,385,194164,04715-002,26215-280,415604.2
386,386,194234,92120-140,13214-300,1166450.9
387,387,194357,91790-042,03666-060,1161457.8
388,388,194361,03622-010,81920-080,445530.9
389,389,194488,03622-010,79090-130,1021294.3
390,390,194601,04344-010,22743-830,444712.8
391,391,194671,13405-230,26582-020,535201.3
392,392,194814,82820-090,04330-020,393066.1
393,393,194819,04344-010,33600-000,644954.7
394,394,194905,03622-010,72130-700,1016166.0
395,395,194974,02721-200,72115-939,997204.9
396,396,195376,06705-030,80040-450,392668.9
397,397,195525,35701-004,20031-040,508656.2
398,398,195527,35701-004,20031-040,508656.2
399,399,195688,04715-002,31744-530,613429.9
400,400,195976,03134-001,20770-240,426540.2
401,401,196001,03134-001,79116-605,1025497.2
402,402,196016,04344-010,93225-020,1128155.1
403,403,196331,23073-200,06422-040,420312.4
404,404,196345,03622-010,31950-550,590160.7
405,405,196489,35701-004,12228-970,605674.6
406,406,196583,35701-004,13330-260,659812.2
407,407,196783,04715-002,88025-210,688869.8
408,408,197437,04344-010,23081-290,410134.8
409,409,197438,09351-090,70353-020,1035062.2
410,410,197556,04715-002,32073-160,578380.2
411,411,197577,35701-004,03204-080,637614.3
412,412,197695,31030-035,21843-030,446799.2
413,413,198223,06343-510,74525-030,943170.5
414,414,198529,81130-000,13348-440,437580.8
415,415,198801,31030-035,21931-582,437497.5
416,416,199369,04344-010,79008-200,1012248.5
417,417,199557,04344-010,23510-095,419436.5
418,418,199884,06343-510,25900-862,473290.5
419,419,199949,06343-510,74870-330,936528.6
420,420,200356,82820-090,13280-182,455720.7
421,421,200938,90230-041,01224-030,1124357.0
422,422,201036,03989-010,24421-300,448609.7
423,423,201294,32242-310,22020-002,450893.5
424,424,201464,06075-180,24220-030,464741.5
425,425,201752,04715-002,90160-181,1127150.7
426,426,202043,23073-200,04366-000,407174.9
427,427,202380,80220-031,13348-510,434287.8
428,428,202447,35701-004,07791235,635497.6
429,429,203061,13101-150,24421-300,506598.6
430,430,203062,13101-150,24421-300,506598.6
431,431,203369,03622-010,26293-342,390706.2
432,432,203484,80220-031,01224-030,404390.6
433,433,203737,09190-610,31742-036,610102.0
434,434,203786,03989-010,70765-050,1034545.2
435,435,204101,03622-010,20780-270,420608.5
436,436,204289,32242-310,20940-070,439155.0
437,437,204290,03622-010,20940-070,424657.6
438,438,204311,03622-010,24421-300,446975.3
439,439,204312,02721-200,25085-040,427564.5
440,440,204633,03134-001,70686745,ERROR
441,441,205204,03047-000,88053-516,747165.0
442,442,193125,12010-150,09291-250,148994.3
443,443,193411,03989-010,13609-374,189130.7
444,444,193821,13360-000,13950-000,152081.5
445,445,194077,13405-230,14010-080,193326.3
446,446,194863,06703-001,37704-000,274097.1
447,447,195421,03526-000,17800-000,605805.6
448,448,195926,04715-002,04844-220,16530.5
449,449,196270,06703-001,16400-049,409495.6
450,450,196568,04715-002,06310-320,25832.2
451,451,197344,12010-150,06462-355,150665.9
452,452,199396,12010-150,17511-405,570055.7
453,453,202105,12010-150,13843-154,243765.7
454,454,202859,14085-620,03319-002,321198.0
455,455,203703,03345-000,18071-308,113341.9
456,456,204007,14701-550,04293-970,393092.4
457,457,194941,02552-000,16403-015,425047.8
458,458,194942,02552-000,16403-015,425047.8
459,459,197770,92120-140,92025-840,5154.2
460,460,198600,35701-004,35502-043,173432.9
461,461,198728,30421-284,39592-000,420451.9
462,462,197801,88117-402,89809-545,548413.0
463,463,193256,04715-002,96700-000,1206449.4
464,464,194626,02721-200,93010-280,1080767.6
465,465,194627,18043-003,93010-280,1046570.2
466,466,195755,04344-010,22753-330,450629.8
467,467,195970,35701-004,24430-150,520422.9
468,468,196353,09351-090,26433-270,395593.7
469,469,196503,04344-010,22765-004,448195.8
470,470,198962,04715-002,23092-080,413315.6
471,471,200273,09351-090,24935-495,497245.5
472,472,200497,13405-230,22020-002,570881.1
473,473,201302,04715-002,21380-170,437526.0
474,474,201622,05835-005,22220-030,461237.7
475,475,201750,35701-004,72906-268,ERROR
476,476,202433,05835-005,32639-614,568155.0
477,477,193138,03622-010,11460-002,88640.4
478,478,204328,15133-272,04786-040,471247.1
479,479,196863,03622-010,88030-000,724787.7
480,480,201470,02552-000,14066-080,314385.2
481,481,204002,04133-200,15092-470,455501.2
482,482,204836,04133-200,15092-470,455501.2
483,483,205616,07180-270,05614-040,32942.1
484,484,192902,12010-150,26285-510,268043.0
485,485,200569,19046-070,11680-000,783822.2
486,486,195802,03526-000,14085-560,327530.8
487,487,192516,18043-003,24430-150,547706.9
488,488,193279,35701-004,13416-404,701253.1
489,489,193431,13403-000,20740-030,555165.7
490,490,194215,03622-010,90050-030,1156604.1
491,491,194273,91790-042,03666-060,1161457.8
492,492,194287,18043-003,24436-660,552041.3
493,493,194383,88117-402,90880-370,454585.8
494,494,194450,13301-909,32240-150,607226.8
495,495,194658,13310-160,32240-150,607844.4
496,496,194878,03622-010,74835-470,948029.5
497,497,195081,03989-010,90050-030,1152997.1
498,498,195195,03989-010,90050-030,1152997.1
499,499,195224,13405-230,94440-192,1174529.4
500,500,195724,29164-018,24415-000,525948.6
501,501,196213,06703-001,71909-180,1016525.8
502,502,196544,82820-090,07031-000,417444.5
503,503,197557,18043-003,32073-160,640545.8
504,504,198675,03622-010,26383-060,387133.1
505,505,198919,32242-310,03969-000,575117.5
506,506,199660,02721-200,72016-150,995303.3
507,507,199718,02721-200,29152-500,981689.2
508,508,200212,23073-200,73368-440,ERROR
509,509,201787,04715-002,29103-175,984986.6
510,510,202835,90650-002,05550-000,1116588.0
511,511,203065,03622-010,24421-300,446975.3
512,512,203159,90650-002,05550-000,1116588.0
513,513,203754,91790-042,12315-110,1229308.3
514,514,195484,04133-200,06840-095,36479.2
515,515,195787,06703-001,13930-000,162827.1
516,516,196802,03134-001,12233-090,98770.5
517,517,197154,12010-150,12231-811,46294.4
518,518,197969,04715-002,18410-010,288201.3
519,519,198787,12010-150,13214-300,186129.7
520,520,202158,04715-002,13418-050,160019.8
521,521,202558,04715-002,06420190,33362.8
522,522,203213,13403-000,02403-010,161228.8
523,523,203802,04715-002,13509676,186211.1
524,524,204445,12010-150,01002001,130311.5
525,525,204363,09190-610,25710-290,477373.6
526,526,196121,03622-010,90870-001,1161201.9
527,527,201949,03047-000,07221-010,11474.8
528,528,193608,30710-010,36980-000,344388.2
529,529,196221,35701-004,35900-480,165986.4
530,530,198189,92120-140,95032-765,118902.1
531,531,203914,91790-042,93222-260,47913.3
532,532,200279,02513-020,21660-010,418929.8
533,533,202163,12010-150,08675-360,113400.8
534,534,193817,04715-002,12091-580,146966.1
535,535,203963,04715-002,11680-000,249462.6
536,536,195727,99025-604,95170-516,240870.8
537,537,196621,12010-150,05862-220,152191.7
538,538,195346,04715-002,08616-770,66157.7
539,539,194262,13360-000,13847-194,124394.8
540,540,195672,03711-007,12602-020,182405.6
541,541,197966,03622-010,13252-579,92725.3
542,542,203258,13101-150,08330-350,118209.5
543,543,205175,06343-510,17123-204,299663.4
544,544,196082,12010-150,13332-116,223942.6
545,545,192687,12010-150,06950-000,207043.8
546,546,197346,04344-010,01530-000,8445.6
547,547,197729,13405-230,22281-900,568922.9
548,548,193636,31255-100,38780-000,515132.1
549,549,195824,12010-150,14080-210,412897.0
550,550,192558,92120-140,09910-720,1123142.8
551,551,192871,04715-002,22611-190,466109.6
552,552,193389,03622-010,90050-030,1156604.1
553,553,193506,03622-010,90050-030,1156604.1
554,554,193635,03622-010,90050-030,1156604.1
555,555,193689,03622-010,90050-030,1156604.1
556,556,194107,88117-402,90050-030,453274.9
557,557,194139,03622-010,90050-030,1156604.1
558,558,194313,03622-010,24440-180,445437.7
559,559,194629,40230-680,57062-590,587352.4
560,560,194985,88117-402,80420-120,293503.1
561,561,195668,29164-018,09195-310,1011163.2
562,562,196179,82820-090,13212-884,441623.3
